Date	UserName	ProjectName
2019-09-30	User20	Project1
2019-09-30	User32	Project3
2019-09-30	User21	Project2
2019-09-30	User5	Project1
2019-09-30	User34	Project5
2019-09-30	User31	Project3
2019-09-30	User30	Project2
2019-09-30	User4	Project2
2019-09-30	User24	Project3
2019-09-30	User19	Project3
2019-09-30	User33	Project3
2019-09-30	User18	Project3
2019-09-30	User27	Project2
2019-09-30	User3	Project2
2019-09-30	User23	Project3
2019-09-30	User16	Project3
2019-09-30	User15	Project3
2019-09-30	User14	Project2
2019-09-30	User13	Project2
2019-09-30	User12	Project3
2019-09-30	User9	Project1
2019-09-30	User10	Project2
2019-09-30	User11	Project4
2019-09-30	User8	Project1
2019-09-30	User7	Project2
2019-09-30	User1	Project3
2019-10-01	User6	Project5
2019-10-01	User32	Project3
2019-10-01	User21	Project2
2019-10-01	User5	Project1
2019-10-01	User31	Project3
2019-10-01	User30	Project2
2019-10-01	User4	Project2
2019-10-01	User24	Project2
2019-10-01	User19	Project3
2019-10-01	User33	Project3
2019-10-01	User18	Project3
2019-10-01	User23	Project3
2019-10-01	User17	Project4
2019-10-01	User15	Project3
2019-10-01	User13	Project2
2019-10-01	User12	Project3
2019-10-01	User9	Project1
2019-10-01	User10	Project2
2019-10-01	User22	Project2
2019-10-01	User11	Project4
2019-10-01	User8	Project1
2019-10-01	User1	Project3
2019-10-01	User26	Project3
2019-10-02	User20	Project1
2019-10-02	User32	Project3
2019-10-02	User21	Project2
2019-10-02	User5	Project1
2019-10-02	User31	Project3
2019-10-02	User30	Project2
2019-10-02	User24	Project4
2019-10-02	User19	Project3
2019-10-02	User33	Project3
2019-10-02	User18	Project3
2019-10-02	User3	Project2
2019-10-02	User17	Project4
2019-10-02	User16	Project3
2019-10-02	User15	Project3
2019-10-02	User14	Project2
2019-10-02	User13	Project2
2019-10-02	User12	Project3
2019-10-02	User10	Project2
2019-10-02	User22	Project2
2019-10-02	User11	Project4
2019-10-02	User8	Project1
2019-10-02	User1	Project3
2019-10-02	User26	Project3
2019-10-03	User20	Project1
2019-10-03	User28	Project3
2019-10-03	User32	Project3
2019-10-03	User21	Project2
2019-10-03	User5	Project1
2019-10-03	User31	Project3
2019-10-03	User30	Project2
2019-10-03	User19	Project3
2019-10-03	User33	Project3
2019-10-03	User18	Project3
2019-10-03	User27	Project2
2019-10-03	User3	Project2
2019-10-03	User23	Project3
2019-10-03	User17	Project4
2019-10-03	User16	Project3
2019-10-03	User15	Project3
2019-10-03	User14	Project2
2019-10-03	User13	Project2
2019-10-03	User9	Project1
2019-10-03	User22	Project2
2019-10-03	User11	Project4
2019-10-03	User8	Project1
2019-10-03	User1	Project3
2019-10-04	User32	Project3
2019-10-04	User21	Project2
2019-10-04	User5	Project1
2019-10-04	User31	Project3
2019-10-04	User30	Project2
2019-10-04	User19	Project3
2019-10-04	User33	Project3
2019-10-04	User18	Project3
2019-10-04	User27	Project2
2019-10-04	User3	Project2
2019-10-04	User23	Project3
2019-10-04	User17	Project4
2019-10-04	User15	Project3
2019-10-04	User14	Project2
2019-10-04	User13	Project2
2019-10-04	User9	Project1
2019-10-04	User10	Project2
2019-10-04	User22	Project2
2019-10-04	User11	Project4
2019-10-04	User8	Project1
2019-10-04	User7	Project2
2019-10-04	User1	Project3
2019-10-07	User32	Project3
2019-10-07	User21	Project2
2019-10-07	User5	Project1
2019-10-07	User31	Project3
2019-10-07	User30	Project2
2019-10-07	User19	Project3
2019-10-07	User18	Project3
2019-10-07	User27	Project2
2019-10-07	User3	Project2
2019-10-07	User23	Project3
2019-10-07	User17	Project4
2019-10-07	User16	Project3
2019-10-07	User15	Project3
2019-10-07	User14	Project2
2019-10-07	User13	Project2
2019-10-07	User9	Project1
2019-10-07	User10	Project2
2019-10-07	User22	Project2
2019-10-07	User11	Project4
2019-10-07	User8	Project1
2019-10-07	User7	Project2
