ID	DateTime	Action	LicenseCode	ApplicationName	User	Computer	TotalApplicationInstancesPerLicense	LicenseDuration	TotalLicensePerUser	TotalLicenses	InstancesPerApplication	ApplicationInstancesPerLicense	ApplicationDuration	TotalApplications	TotalApplicationsPerUser
1	 2019-09-28 13:19:53.000	OUT	AUTOCAD	87084ACD_2019_0F	User1	Computer	1	 00:00:00	1	1	1	1	 00:00:00	1	1
2	 2019-09-30 08:40:48.000	IN	AUTOCAD	87084ACD_2019_0F	User1	Computer	0	 43:20:55	0	0	0	0	 43:20:55	0	0
3	 2019-09-30 09:23:41.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	1	 00:00:00	1	1	1	1	 00:00:00	1	1
4	 2019-09-30 09:23:46.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	2	 00:00:05	1	1	2	2	 00:00:05	1	1
5	 2019-09-30 09:28:00.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	1	 00:00:00	1	2	1	1	 00:00:00	2	1
6	 2019-09-30 09:30:30.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	1	 00:00:00	1	3	1	1	 00:00:00	3	1
7	 2019-09-30 09:35:59.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User9	Computer	1	 00:00:00	1	4	1	1	 00:00:00	4	1
8	 2019-09-30 09:39:49.001	OUT	AEC COLLECTION	86604ACD_2017_0F	User25	Computer	1	 00:00:00	1	5	1	1	 00:00:00	1	1
9	 2019-09-30 09:40:27.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User28	Computer	1	 00:00:00	1	6	1	1	 00:00:00	1	1
10	 2019-09-30 09:41:29.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User8	Computer	1	 00:00:00	1	7	1	1	 00:00:00	5	1
11	 2019-09-30 09:42:31.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User22	Computer	1	 00:00:00	1	8	1	1	 00:00:00	6	1
12	 2019-09-30 09:43:09.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 00:00:00	1	9	1	1	 00:00:00	7	1
13	 2019-09-30 09:43:46.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User1	Computer	1	 00:00:00	1	10	1	1	 01:02:58	1	1
14	 2019-09-30 09:46:33.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User20	Computer	1	 00:00:00	1	11	1	1	 00:00:00	8	1
15	 2019-09-30 09:46:49.000	IN	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	0	 00:03:40	0	10	0	0	 00:03:40	7	0
16	 2019-09-30 09:46:53.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 00:00:04	1	11	1	1	 00:00:04	8	1
17	 2019-09-30 09:48:21.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	1	 00:00:00	1	12	1	1	 00:00:00	2	1
18	 2019-09-30 09:48:52.000	IN	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	0	 00:02:03	0	11	0	0	 00:02:03	7	0
19	 2019-09-30 09:52:33.000	OUT	AEC COLLECTION	86766NAVMAN_2017_0F	User4	Computer	2	 00:24:33	1	11	1	1	 00:00:00	1	2
20	 2019-09-30 09:53:22.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 00:04:30	1	12	1	1	 00:04:30	8	1
21	 2019-09-30 09:54:38.000	IN	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	0	 00:05:46	0	11	0	0	 00:05:46	7	0
22	 2019-09-30 09:55:36.000	OUT	AEC COLLECTION	86766NAVMAN_2017_0F	User22	Computer	2	 00:13:05	1	11	1	1	 00:00:00	2	2
23	 2019-09-30 09:56:36.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 00:01:58	1	12	1	1	 00:01:58	8	1
24	 2019-09-30 09:57:13.000	IN	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	0	 00:08:52	0	11	0	0	 00:08:52	1	0
25	 2019-09-30 09:57:45.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	1	 00:00:32	1	12	1	1	 00:00:32	2	1
26	 2019-09-30 10:00:21.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	3	 00:32:21	1	12	2	2	 00:32:21	8	2
27	 2019-09-30 10:03:04.000	IN	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	0	 00:08:26	0	11	0	0	 00:08:26	7	0
28	 2019-09-30 10:03:31.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	1	 00:00:00	1	12	1	1	 00:00:00	8	1
29	 2019-09-30 10:03:40.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 00:00:36	1	13	1	1	 00:00:36	9	1
30	 2019-09-30 10:05:31.000	IN	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	0	 00:02:27	0	12	0	0	 00:02:27	8	0
31	 2019-09-30 10:05:55.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 00:00:24	1	13	1	1	 00:00:24	9	1
32	 2019-09-30 10:06:15.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	2	 00:02:44	1	13	2	2	 00:02:44	9	1
33	 2019-09-30 10:06:54.000	IN	AEC COLLECTION	87084ACD_2019_0F	User1	Computer	0	 00:23:08	0	12	0	0	 01:26:06	0	0
34	 2019-09-30 10:11:29.001	IN	AEC COLLECTION	86766NAVMAN_2017_0F	User22	Computer	1	 00:28:58	1	12	0	0	 00:15:53	1	1
35	 2019-09-30 10:11:53.000	OUT	AEC COLLECTION	87176NAVMAN_2019_0F	User27	Computer	1	 00:00:00	1	13	1	1	 00:00:00	1	1
36	 2019-09-30 10:12:21.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User16	Computer	1	 00:00:00	1	14	1	1	 00:00:00	3	1
37	 2019-09-30 10:13:40.000	OUT	AEC COLLECTION	87176NAVMAN_2019_0F	User27	Computer	2	 00:01:47	1	14	2	2	 00:01:47	1	1
38	 2019-09-30 10:13:44.000	IN	AEC COLLECTION	87176NAVMAN_2019_0F	User27	Computer	1	 00:01:51	1	14	1	1	 00:01:51	1	1
39	 2019-09-30 10:23:33.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	2	 00:53:03	1	14	2	2	 00:53:03	9	1
40	 2019-09-30 10:28:15.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User27	Computer	2	 00:16:22	1	14	1	1	 00:00:00	10	2
41	 2019-09-30 10:31:46.000	IN	AEC COLLECTION	87176NAVMAN_2019_0F	User27	Computer	1	 00:19:53	1	14	0	0	 00:19:53	0	1
